sID,sentence,top_label,label,class_name,sentence_ru
75,"Because of coronavirus, I've lost about 3 months of work.",Work,1,work,Из-за коронавируса я потерял около 3 месяцев работы.
76,becoming a sahm isn't what i expected.,Work,1,work,"Стать самом — это не то, чего я ожидал."
77,been busy w/ work,Work,1,work,был занят работой
78,been sick with pneumonia and haven't been able to work,"Health, Fatigue, or Physical Pain",3,health,болел пневмонией и не мог работать
79,been slammed at work with the holidays coming up.,Work,1,work,был завален на работе из-за приближающихся праздников.
80,Been stressed at work.,Work,1,work,Был стресс на работе.
81,been stressing about work and having a new baby,Family Issues,2,family,переживал из-за работы и рождения нового ребенка
82,been trying for days to book doc apt and still waiting :(,"Health, Fatigue, or Physical Pain",3,health,уже несколько дней пытаюсь забронировать номер и все еще жду :(
83,"being a caregiver for a sick family friend, i feel like i have no time to myself",Social Relationships,4,friends,"Будучи сиделкой за больным другом семьи, я чувствую, что у меня нет времени на себя"
84,being a new mom and trying to find time to myself,Family Issues,2,family,быть молодой мамой и пытаться найти время для себя
85,Being able to find food and goods for my family.,Family Issues,2,family,Возможность найти еду и товары для своей семьи.
86,being able to my bills on time,Financial Problem,5,finance,иметь возможность вовремя оплачивать свои счета
87,being at home alone with a newborn.,Family Issues,2,family,находиться дома наедине с новорожденным.
88,being back at work,Work,1,work,возвращаюсь на работу
89,being evicted,Financial Problem,5,finance,выселение
90,being hit on by coworker,Work,1,work,на тебя нападает коллега
91,Being home almost all day,Emotional Turmoil,6,unknown,Быть дома почти весь день
92,being home for several weeks at a time,Emotional Turmoil,6,unknown,быть дома несколько недель подряд
93,Being home with the kids all day during this pandemic!,Family Issues,2,family,Во время этой пандемии быть дома с детьми весь день!
94,"being in a shelter in place order, which is driving me insane not being able to go out",Everyday Decision Making,6,unknown,"нахождение в приюте с соблюдением порядка, который сводит меня с ума, невозможность выйти на улицу"
95,being in the hospital for several days,"Health, Fatigue, or Physical Pain",3,health,находиться в больнице несколько дней
96,Being laid off from work,Work,1,work,Увольняют с работы
97,Being laod off from my job,Work,1,work,Меня уволили с работы
98,being micromanaged at my workplace.,Work,1,work,микроменеджмент на моем рабочем месте.
99,being off of work,Work,1,work,быть без работы
100,Being quarantined because of the corona virus.,Other,6,unknown,Находится на карантине из-за короновируса.
101,Being quarantined because og Corona Virus,Other,6,unknown,Нахожусь на карантине из-за короновируса
102,Being quarantined due to coronavirus.,Social Relationships,4,friends,Находится на карантине из-за коронавируса.
103,Being quarantined for the coronavirus in our town,Emotional Turmoil,6,unknown,В нашем городе на карантине из-за коронавируса.
104,Being quarantined in my home because of a widespread infectious disease...,Emotional Turmoil,6,unknown,Нахожусь на домашнем карантине из-за широко распространенного инфекционного заболевания...
105,being self employed for the new year is really stressing me out.,Work,1,work,Работа на себя в новом году меня очень напрягает.
106,Being shut in from the virus,Everyday Decision Making,6,unknown,Быть закрытым от вируса
107,being sick all week,"Health, Fatigue, or Physical Pain",3,health,болеть всю неделю
108,Being stuck at home and not being able to go  to church,Other,6,unknown,Сидеть дома и не иметь возможности пойти в церковь
109,"Being stuck at home has been pretty stressful, the pressure of the world today.",Financial Problem,5,finance,"Застрять дома было довольно напряженно, давление современного мира."
110,Being stuck at home in quarantine,Emotional Turmoil,6,unknown,Сидеть дома на карантине
111,being stuck at home watching nothing but news on the coronavirus!,"Health, Fatigue, or Physical Pain",3,health,сидеть дома и смотреть только новости о коронавирусе!
112,Being stuck at home with two other people and having no privacy.,Social Relationships,4,friends,Застрять дома с двумя другими людьми и не иметь возможности уединиться.
113,Being stuck in my house during quarantine,Other,6,unknown,Застрял в своем доме во время карантина
114,Being stuck inside due to the coronavirus,Everyday Decision Making,6,unknown,Застрял внутри из-за коронавируса
115,Being turned down for SSI and having to find an attorney to fight it.,Financial Problem,5,finance,"Мне отказали в SSI и пришлось искать адвоката, чтобы бороться с этим."
116,Being unemployed has been really stressful.,Work,1,work,Быть безработным было настоящим стрессом.
117,being unproductive,Everyday Decision Making,6,unknown,быть непродуктивным
118,believing i'm incompetent at my job.  feels like in over my head.,Work,1,work,"полагая, что я некомпетентен в своей работе.  такое чувство, будто у меня над головой."
119,"besides everything? the amount of wasted time it takes to get anything done, takes time",Other,6,unknown,"помимо всего? количество потраченного впустую времени, необходимого для того, чтобы что-то сделать, требует времени"
120,big project at work has had me pulling my hair out,Work,1,work,большой проект на работе заставил меня рвать на себе волосы
121,big test coming up and need to finish my work.,School,1,work,"Скоро большой тест, и мне нужно закончить работу."
122,big trip home,Family Issues,2,family,большая поездка домой
123,bills,Financial Problem,5,finance,счета
124,"bills. with the holidays coming up, i just don't know how i'm going to manage.",Financial Problem,5,finance,"счета. с приближением праздников я просто не знаю, как я справлюсь."
125,body pain,"Health, Fatigue, or Physical Pain",3,health,боль в теле
126,boss at work,Work,1,work,босс на работе
127,boss has been frustrating me!,Work,1,work,босс меня расстраивает!
128,boss has been really annoying lately.,Work,1,work,Босс в последнее время меня очень раздражает.
129,boss keeps piling me up with work,Work,1,work,босс продолжает загружать меня работой
130,"Bowling center shutdown, no coaching lessons for a month. No money.",Financial Problem,5,finance,"Закрытие боулинг-центра, отсутствие тренерских занятий в течение месяца. Нет денег."
131,budget cuts at work,Work,1,work,сокращение бюджета на работе
133,Buying a home and figuring out how to pay for it,Financial Problem,5,finance,"Покупка дома и выяснение, как за него платить"
134,buying a house has been pretty stressful!,Everyday Decision Making,6,unknown,покупка дома была довольно стрессовой ситуацией!
135,buying my first home,Financial Problem,5,finance,покупка моего первого дома
136,california wildfires are a big concern,Other,6,unknown,Калифорнийские лесные пожары вызывают большую тревогу
137,"calm friend, everything will be fine, remember to stay calm",Emotional Turmoil,6,unknown,"спокойный друг, все будет хорошо, не забывай сохранять спокойствие"
142,can't do the same things at work i used to be able to do,Work,1,work,"не могу делать на работе то же, что мог делать раньше"
143,can't figure out how to pay for my books,School,1,work,"не могу понять, как оплатить мои книги"
144,cant figure out what to do in the job or task,Work,1,work,"не могу понять, что делать в работе или задаче"
146,can't get a job and the only place that calls me back is a shitty warehouse.,Work,1,work,"не могу устроиться на работу и единственное место, куда мне перезванивают, это дерьмовый склад."
147,can't seem to get ahead financially.  every time i catch up something breaks,Financial Problem,5,finance,"не может добиться успеха в финансовом отношении.  каждый раз, когда я догоняю, что-то ломается"
148,car,Other,6,unknown,машина
149,car problems are starting to worry me.,Other,6,unknown,проблемы с автомобилем начинают меня беспокоить.
150,ceramics,Other,6,unknown,керамика
151,Changes in my work and school schedule because of COVID 19,School,1,work,Изменения в моем рабочем и учебном расписании из-за COVID 19
152,changes in work schedule,Work,1,work,изменения в графике работы
154,chistmas is coming up and we are so broke this year,Financial Problem,5,finance,"приближается Рождество, и в этом году мы так разорены"
155,christmas has been stressing me out!,Social Relationships,4,friends,Рождество меня напрягло!
156,christmas is coming and i'm swamped with medical bills.,Financial Problem,5,finance,"Приближается Рождество, и я завален медицинскими счетами."
157,chritmas is coming up and i am worried i wont be able give my family a good xmas,Family Issues,2,family,"Приближается Рождество, и я волнуюсь, что не смогу подарить своей семье хорошее Рождество"
158,class is boring....unable to focus,School,1,work,на уроках скучно...невозможно сосредоточиться
159,classes,School,1,work,занятия
160,classes at my college,School,1,work,занятия в моем колледже
161,college,School,1,work,колледж
162,college and work have both been pretty stressful.,School,1,work,колледж и работа были довольно напряженными.
163,"college has been really stressing me out lately, thanks for asking.",School,1,work,"колледж в последнее время меня очень напрягает, спасибо, что спросили."
164,college is super hard I'm not doing well in essay,School,1,work,"В колледже очень сложно, у меня не очень хорошо получается сочинение"
165,coming up with a 1000.00 to fix my vehicle that needs to be repaired.,Financial Problem,5,finance,"придумываю 1000,00, чтобы починить мою машину, которую нужно отремонтировать."
166,commuting to work,Work,1,work,по дороге на работу
167,completing a project on time and correctly.,Work,1,work,завершить проект вовремя и правильно.
168,concentrating at work,Work,1,work,концентрация на работе
169,Concerns about the situation in the world right now.,Other,6,unknown,Беспокойство по поводу ситуации в мире сейчас.
171,CORNOAVIRUS AND THE UNKNOWN,Other,6,unknown,КОРНОАВИРУС И НЕИЗВЕСТНОЕ
172,corona,Other,6,unknown,корона
173,corona virus,"Health, Fatigue, or Physical Pain",3,health,корона вирус
174,corona virus freaking me out,"Health, Fatigue, or Physical Pain",3,health,Коронавирус меня пугает
175,corona virus is sprending like a wildfire,"Health, Fatigue, or Physical Pain",3,health,Вирус короны распространяется как лесной пожар
176,"Corona Virus! I have not work, no contacts, can't leave the house. How are you?",Work,1,work,"Корона вирус! У меня нет работы, нет контактов, я не могу выйти из дома. Как вы?"
177,Corona virus... it's just non stop. What about you?,"Health, Fatigue, or Physical Pain",3,health,Вирус короны... это просто нон-стоп. А вы?
178,Coronavirus and my job situation.,Work,1,work,Коронавирус и моя ситуация на работе.
179,Coronavirus and panic buying have been stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Коронавирус и панические покупки вызывают у меня стресс.
180,Coronavirus has been stressing me out due to being in furlough,Work,1,work,Коронавирус вызвал у меня стресс из-за отпуска
181,"Coronavirus has been stressing me out. I'm afrain to get sick, I cannot work and i am st","Health, Fatigue, or Physical Pain",3,health,"Коронавирус вызвал у меня стресс. Боюсь заболеть, не могу работать и мне плохо"
182,Coronavirus has definitely increased my anxiety,Emotional Turmoil,6,unknown,Коронавирус определенно усилил мое беспокойство
183,Coronavirus is happening and I can't leave my house.,Everyday Decision Making,6,unknown,"Коронавирус случается, и я не могу выйти из дома."
184,Coronavirus is threatening my current employment.,Work,1,work,Коронавирус угрожает моей нынешней работе.
185,CORONAVIRUS preventing me from WORKING so I cannot pay my BILLS and keep family FED,Work,1,work,"КОРОНАВИРУС мешает мне РАБОТАТЬ, поэтому я не могу оплачивать СЧЕТЫ и обеспечивать семью ФРС."
186,"Coronavirus, my financial budget, thinking of my student debts",Financial Problem,5,finance,"Коронавирус, мой финансовый бюджет, мысли о студенческих долгах"
187,Coronavirus.  I am high risk because of asthma so I am worried,"Health, Fatigue, or Physical Pain",3,health,"Корона вирус.  У меня высокий риск из-за астмы, поэтому я волнуюсь"
188,Coronavirus.  I'm very scared of what it will do,Other,6,unknown,"Корона вирус.  Я очень боюсь того, что это сделает"
189,court in 2 weeks nd no deal in sight,Other,6,unknown,"суд через 2 недели, сделки не предвидится"
190,Covid 19,"Health, Fatigue, or Physical Pain",3,health,COVID-19
191,Covid 19 has been severely impacting my life. I miss seeing people.,Social Relationships,4,friends,Covid 19 серьезно повлиял на мою жизнь. Я скучаю по людям.
192,COVID 19 is everywhere and I have to respond as a fire fighter,Work,1,work,"COVID-19 повсюду, и мне приходится реагировать как пожарному."
193,covid 19 is making me lose hours at work and i cant keep up with my bills,Financial Problem,5,finance,"Covid 19 заставляет меня терять часы на работе, и я не могу следить за своими счетами"
194,"COVID is really stressing me, I can't think about anything else.","Health, Fatigue, or Physical Pain",3,health,"COVID меня очень напрягает, я не могу думать ни о чем другом."
195,Co-vid! Isn't that what's stressing us all out?,"Health, Fatigue, or Physical Pain",3,health,COVID-19! Не это ли нас всех напрягает?
196,Covid-19 and money,Other,6,unknown,Covid-19 и деньги
197,Covid-19 has been really stressing me out. Life as we know it is forever different,"Health, Fatigue, or Physical Pain",3,health,"Covid-19 меня очень напрягал. Жизнь, какой мы ее знаем, навсегда другая"
198,COVID-19 has been stressing me out!,"Health, Fatigue, or Physical Pain",3,health,COVID-19 меня напрягал!
199,covid19 has messed with my sleep schedule a bit,"Health, Fatigue, or Physical Pain",3,health,covid19 немного нарушил мой график сна
200,covid-19 is all over my town and i'm afraid to die!,"Health, Fatigue, or Physical Pain",3,health,"Covid-19 распространился по всему моему городу, и я боюсь умереть!"
201,Covid-19 it laid of my husband from work. My surgery got postponed.,"Health, Fatigue, or Physical Pain",3,health,Covid-19 унес моего мужа с работы. Мою операцию отложили.
202,COVID-19 Pandemic,"Health, Fatigue, or Physical Pain",3,health,COVID-19 пандемия
203,Covid-19 pandemic has been really stressful,Emotional Turmoil,6,unknown,Пандемия Covid-19 оказалась по-настоящему стрессовой
204,COVID-19 Quarantine has me feeling pretty lonely and isolated lately.,Financial Problem,5,finance,В последнее время карантин из-за COVID-19 заставляет меня чувствовать себя довольно одиноким и изолированным.
205,coworkers ostracising me again,Work,1,work,коллеги снова подвергают меня остракизму
206,crap life seems to suck!,Emotional Turmoil,6,unknown,"дерьмовая жизнь, кажется, отстой!"
207,currently my relationship but i'm working on it.,Social Relationships,4,friends,"в настоящее время мои отношения, но я работаю над этим."
208,Currently not being able to see my girlfriend is stressing me out slightly.,Social Relationships,4,friends,"Сейчас я немного расстраиваюсь из-за того, что не могу видеться со своей девушкой."
209,Currently stressing about the COVID-19 as I have been unemployed for two weeks.,Financial Problem,5,finance,"Сейчас переживаю из-за COVID-19, поскольку уже две недели я безработный."
210,"cut to part time, can't pay rent or bills, feel terrible",Financial Problem,5,finance,"сокращен на неполный рабочий день, не могу платить за аренду или счета, чувствую себя ужасно"
211,darn lazy ass people at work. feed up with seeing people talking and not wo,Work,1,work,"чертовски ленивые люди на работе. надоело видеть, как люди разговаривают, а не горе"
212,deadline,Work,1,work,крайний срок
213,deadlines,Work,1,work,сроки
214,deadlines for all my courses,School,1,work,сроки всех моих курсов
215,Dealing with Ali is stressing me out.,Social Relationships,4,friends,Общение с Али меня напрягает.
216,dealing with anxiety from the stress of car repair and being unemployed.,Financial Problem,5,finance,"справиться с тревогой из-за стресса, связанного с ремонтом автомобилей и безработицей."
217,dealing with finding a daycare for my daughter,Family Issues,2,family,занимаюсь поиском детского сада для моей дочери
218,dealing with grief following the death of both my grandparents last month,Emotional Turmoil,6,unknown,справиться с горем после смерти моих бабушки и дедушки в прошлом месяце
219,dealing with illness along with my wife,"Health, Fatigue, or Physical Pain",3,health,борюсь с болезнью вместе с женой
220,dealing with my coworkers everyday with their annoying habits,Work,1,work,каждый день сталкиваюсь с моими коллегами и их раздражающими привычками
221,dealing with my husband's heal issues and his problems with the va is always stressful,Family Issues,2,family,решение проблем со здоровьем моего мужа и его проблем с ва всегда вызывает стресс
222,dealing with my lawyer,Social Relationships,4,friends,иметь дело с моим адвокатом
223,Dealing with my Lupus flares,"Health, Fatigue, or Physical Pain",3,health,Борюсь с вспышками волчанки
224,Dealing with people have not been the easiest thing for me lately.,Social Relationships,4,friends,Общение с людьми в последнее время для меня было не самым легким занятием.
225,Dealing with right-wing syncophants and trolls online and in social media has been hard.,Other,6,unknown,Бороться с правыми синфантами и троллями в Интернете и социальных сетях было сложно.
226,dealing with that woman at work,Work,1,work,иметь дело с этой женщиной на работе
227,dealing with the death of my father,Family Issues,2,family,справиться со смертью моего отца
228,dealing with this coronavirus and not being able to have family and friends over,Social Relationships,4,friends,иметь дело с этим коронавирусом и не иметь возможности иметь семью и друзей
229,death in the famy,Family Issues,2,family,смерть в семье
230,debt payments,Financial Problem,5,finance,выплаты по долгам
231,deciding if i should work out or not,"Health, Fatigue, or Physical Pain",3,health,"решаю, стоит ли мне тренироваться или нет"
232,Deciding wether or not to return back to school,School,1,work,"Решение, возвращаться в школу или нет"
234,definitely all the bills I have to pay,Financial Problem,5,finance,"определенно все счета, которые мне придется оплатить"
235,definitely my work has been stressing me out big time!,Work,1,work,определенно моя работа меня очень напрягает!
236,Definitely the COVID-19 Global outbreak that requires being Quarantined,"Health, Fatigue, or Physical Pain",3,health,"Определенно, это глобальная вспышка COVID-19, которая требует карантина."
237,"didn't have the money to enroll for classes until today, yikes",Financial Problem,5,finance,"до сегодняшнего дня у меня не было денег, чтобы записаться на занятия, да"
238,difficult people at work,Work,1,work,трудные люди на работе
239,Difficulty installing security protection on multiple devices.,Everyday Decision Making,6,unknown,Сложность установки защиты на нескольких устройствах.
240,disease is killing people,"Health, Fatigue, or Physical Pain",3,health,болезнь убивает людей
241,do you have time to talk,Social Relationships,4,friends,у тебя есть время поговорить
243,donald trump and the republicans are destroying our democracy,Other,6,unknown,Дональд Трамп и республиканцы разрушают нашу демократию
244,don't know what to cook for dinner,Other,6,unknown,"не знаю, что приготовить на ужин"
245,driving 2 work really sucks,Work,1,work,"вождение 2, работа действительно отстой"
246,driving my kids all over town is getting crazy and really stressing me out,Family Issues,2,family,возить своих детей по всему городу - это сводит меня с ума и меня очень напрягает
247,"dude i am so stressed out about moving to nevada , i hate it.",Other,6,unknown,"чувак, я так переживаю из-за переезда в Неваду, ненавижу это."
249,dude work has been kicking my butt lol,Work,1,work,"чувак, работа меня надрала, лол"
250,"Dude, I've been so worried about online classes LOL",School,1,work,"Чувак, я так волновалась по поводу онлайн-занятий LOL"
251,due to certain circumstances that have donned on me it has been tough to meet financial,Financial Problem,5,finance,"из-за определенных обстоятельств, которые на меня наложили, мне было трудно удовлетворить финансовые"
252,due to lack of sleep i am feeling stressful,"Health, Fatigue, or Physical Pain",3,health,из-за недостатка сна я чувствую стресс
253,"due to the corona virus, i must stay home. it means i get no salary",Social Relationships,4,friends,"из-за вируса короны я должен остаться дома. это значит, что я не получаю зарплату"
254,"Due to the coronavirus, I no longer have a job, it is scary.",Work,1,work,"Из-за коронавируса у меня больше нет работы, это страшно."
255,eating well,"Health, Fatigue, or Physical Pain",3,health,хорошо питаюсь
256,enough money for retirement,Financial Problem,5,finance,достаточно денег для пенсии
257,essays are piling up and i'm drowning in them.,School,1,work,"эссе накапливаются, и я тону в них."
258,"even though i did a good job, i worry my boss won't give a good recommendation.",Work,1,work,"хотя я и проделал хорошую работу, я боюсь, что мой начальник не даст хорошей рекомендации."
259,every day is stress in current work situation steve needs to retire.,Work,1,work,Каждый день – это стресс в текущей рабочей ситуации. Стиву нужно уйти на пенсию.
260,every time i turn on the news and social media facebook it seems to stress me out,Other,6,unknown,"каждый раз, когда я включаю новости и социальные сети Facebook, это, кажется, меня напрягает"
261,everyone being in my space while stuck at home,Social Relationships,4,friends,"все находятся в моем пространстве, пока застряли дома"
262,everyone is getting promoted at work except me.,Work,1,work,"все получают повышение на работе, кроме меня."
263,Everything about this virus is stressing me out.,"Health, Fatigue, or Physical Pain",3,health,"Все, что связано с этим вирусом, меня напрягает."
264,"everything at work is. i have stacks of papers to finish, and no time to do so. ugh",Work,1,work,"на работе все есть. Мне нужно закончить стопку бумаг, а времени на это нет. фу"
265,"everything at work, just generally what is expected of me.",Work,1,work,"все на работе, в целом то, что от меня ожидают."
266,everything because of my current anxiety and bad depression.,Emotional Turmoil,6,unknown,все из-за моего нынешнего беспокойства и сильной депрессии.
267,everything stress me out,Everyday Decision Making,6,unknown,все меня напрягает
268,everything stresses me out lately.,Everyday Decision Making,6,unknown,в последнее время меня все напрягает.
269,"everything that has been going on that i explained to you, its all overwhelming me.",Other,6,unknown,"все, что происходит, что я тебе объяснил, меня ошеломляет."
270,Everything that's happening with corona virus is making me nervous.,"Health, Fatigue, or Physical Pain",3,health,"Все, что происходит с вирусом короны, заставляет меня нервничать."
272,"everything. i'm so overwhelmed, no help, no time urgggg",Everyday Decision Making,6,unknown,"все. я так перегружен, нет помощи, нет времени, урггг"
273,family,Family Issues,2,family,семья
274,family coming for a visit. they have special diets-i am nervous about cooking.,Family Issues,2,family,семья приезжает в гости. у них особая диета – я нервничаю по поводу готовки.
275,"family drama mostly, having to deal with the kid.",Family Issues,2,family,"В основном семейная драма, когда приходится иметь дело с ребенком."
276,"family expectations, they want me to visit when they think it convenient.",Family Issues,2,family,"семейные ожидания, они хотят, чтобы я навещал их, когда они сочтут это удобным."
277,Family home all day. No me time. Too much noise. Can't work easily.,Family Issues,2,family,Семейный дом весь день. Нет мне времени. Слишком много шума. Невозможно работать легко.
278,"family is driving me crazy, think i need a break!",Family Issues,2,family,"Семья сводит меня с ума, думаю, мне нужен перерыв!"
279,family stress.,Family Issues,2,family,семейный стресс.
280,Fear about the virus and my job.,Work,1,work,Страх по поводу вируса и моей работы.
281,feeling alone and that i am not part of anything,Emotional Turmoil,6,unknown,чувствую себя одиноким и что я ни для чего не являюсь частью
282,feeling bad about myself,Emotional Turmoil,6,unknown,плохо себя чувствую
283,feeling inadequate at work/doubting what occupation fits for me,Work,1,work,"чувствую себя неадекватным на работе/сомневаюсь, какая профессия мне подойдет"
284,feeling insecure about my short hair,Other,6,unknown,чувствую себя неуверенно из-за своих коротких волос
285,feeling lonely,Emotional Turmoil,6,unknown,чувствую себя одиноким
286,feeling overwhelmed,Family Issues,2,family,чувство подавленности
287,feels like everything all at once,Everyday Decision Making,6,unknown,"такое ощущение, что все сразу"
288,fellow employees at work,Work,1,work,коллеги на работе
289,Figuring out a long term job during the pandemic,Work,1,work,Поиск долгосрочной работы во время пандемии
290,figuring out how to handle play dates with my kids,Family Issues,2,family,"выяснить, как проводить свидания с детьми"
