sID,sentence,top_label,label,class_name
43,All of the COVID-19 happenings and the financial fallout that has happened as a result.,Financial Problem,5,finance
44,All of the news and lockdown of the covid-19,"Health, Fatigue, or Physical Pain",3,health
45,all of this covid stuff kinda,Other,6,unknown
46,all the craziness going on in the country right now,Other,6,unknown
47,all the drama involving my case.,Work,1,work
48,All the panic about the global pandemic has been stressing me out!,Emotional Turmoil,6,unknown
49,all these exams i have coming up and no time to study!,School,1,work
50,all these extra hours at work are driving me insane.,Work,1,work
51,All this Covid-19 stuff is really stressing me out.,Emotional Turmoil,6,unknown
52,All this school work,School,1,work
53,all this schoolwork i've had lately.,School,1,work
54,alot of stress at work.,Work,1,work
55,"am having a terrible time  planning my dinner tonite, please any suggestions",Everyday Decision Making,6,unknown
56,amazon turk has been really slow so i haven't been making much extra money...,Other,6,unknown
57,An exam at school that everyone is saying you can't pass.,School,1,work
60,anxious customer,Work,1,work
61,anything i can do to help?,Other,6,unknown
62,applying for a writing grant with many requirements.,Work,1,work
63,"Argh, don't have the AMR measure for submission yet.",Other,6,unknown
64,"as i'm applying to nursing schools, there's so many applicants i hope i get in.",School,1,work
65,"at my current work, i am feeling so stressful and tired because of my team work pressure",Work,1,work
66,At the moment just life,Everyday Decision Making,6,unknown
67,"at the time i was very angry to with my friend and then , i am going to depression stage",Social Relationships,4,friends
68,bad day at work.,Work,1,work
69,"Balancing school and work online, and maintaining a healty diet",Work,1,work
70,balancing work with home schooling my children,Work,1,work
71,"balancing work, life, & budget",Work,1,work
72,"balancing working enough to pay bills, but also not overworking.",Work,1,work
74,Because of a power outage all of my classes have been moved to online,School,1,work
75,"Because of coronavirus, I've lost about 3 months of work.",Work,1,work
76,becoming a sahm isn't what i expected.,Work,1,work
77,been busy w/ work,Work,1,work
78,been sick with pneumonia and haven't been able to work,"Health, Fatigue, or Physical Pain",3,health
79,been slammed at work with the holidays coming up.,Work,1,work
80,Been stressed at work.,Work,1,work
81,been stressing about work and having a new baby,Family Issues,2,family
82,been trying for days to book doc apt and still waiting :(,"Health, Fatigue, or Physical Pain",3,health
83,"being a caregiver for a sick family friend, i feel like i have no time to myself",Social Relationships,4,friends
84,being a new mom and trying to find time to myself,Family Issues,2,family
85,Being able to find food and goods for my family.,Family Issues,2,family
86,being able to my bills on time,Financial Problem,5,finance
87,being at home alone with a newborn.,Family Issues,2,family
88,being back at work,Work,1,work
89,being evicted,Financial Problem,5,finance
90,being hit on by coworker,Work,1,work
91,Being home almost all day,Emotional Turmoil,6,unknown
92,being home for several weeks at a time,Emotional Turmoil,6,unknown
93,Being home with the kids all day during this pandemic!,Family Issues,2,family
94,"being in a shelter in place order, which is driving me insane not being able to go out",Everyday Decision Making,6,unknown
95,being in the hospital for several days,"Health, Fatigue, or Physical Pain",3,health
96,Being laid off from work,Work,1,work
97,Being laod off from my job,Work,1,work
98,being micromanaged at my workplace.,Work,1,work
99,being off of work,Work,1,work
100,Being quarantined because of the corona virus.,Other,6,unknown
101,Being quarantined because og Corona Virus,Other,6,unknown
102,Being quarantined due to coronavirus.,Social Relationships,4,friends
103,Being quarantined for the coronavirus in our town,Emotional Turmoil,6,unknown
104,Being quarantined in my home because of a widespread infectious disease...,Emotional Turmoil,6,unknown
105,being self employed for the new year is really stressing me out.,Work,1,work
106,Being shut in from the virus,Everyday Decision Making,6,unknown
107,being sick all week,"Health, Fatigue, or Physical Pain",3,health
108,Being stuck at home and not being able to go  to church,Other,6,unknown
109,"Being stuck at home has been pretty stressful, the pressure of the world today.",Financial Problem,5,finance
110,Being stuck at home in quarantine,Emotional Turmoil,6,unknown
111,being stuck at home watching nothing but news on the coronavirus!,"Health, Fatigue, or Physical Pain",3,health
112,Being stuck at home with two other people and having no privacy.,Social Relationships,4,friends
113,Being stuck in my house during quarantine,Other,6,unknown
114,Being stuck inside due to the coronavirus,Everyday Decision Making,6,unknown
115,Being turned down for SSI and having to find an attorney to fight it.,Financial Problem,5,finance
116,Being unemployed has been really stressful.,Work,1,work
117,being unproductive,Everyday Decision Making,6,unknown
118,believing i'm incompetent at my job.  feels like in over my head.,Work,1,work
119,"besides everything? the amount of wasted time it takes to get anything done, takes time",Other,6,unknown
120,big project at work has had me pulling my hair out,Work,1,work
121,big test coming up and need to finish my work.,School,1,work
122,big trip home,Family Issues,2,family
123,bills,Financial Problem,5,finance
124,"bills. with the holidays coming up, i just don't know how i'm going to manage.",Financial Problem,5,finance
125,body pain,"Health, Fatigue, or Physical Pain",3,health
126,boss at work,Work,1,work
127,boss has been frustrating me!,Work,1,work
128,boss has been really annoying lately.,Work,1,work
129,boss keeps piling me up with work,Work,1,work
130,"Bowling center shutdown, no coaching lessons for a month. No money.",Financial Problem,5,finance
131,budget cuts at work,Work,1,work
133,Buying a home and figuring out how to pay for it,Financial Problem,5,finance
134,buying a house has been pretty stressful!,Everyday Decision Making,6,unknown
135,buying my first home,Financial Problem,5,finance
136,california wildfires are a big concern,Other,6,unknown
137,"calm friend, everything will be fine, remember to stay calm",Emotional Turmoil,6,unknown
142,can't do the same things at work i used to be able to do,Work,1,work
143,can't figure out how to pay for my books,School,1,work
144,cant figure out what to do in the job or task,Work,1,work
146,can't get a job and the only place that calls me back is a shitty warehouse.,Work,1,work
147,can't seem to get ahead financially.  every time i catch up something breaks,Financial Problem,5,finance
148,car,Other,6,unknown
149,car problems are starting to worry me.,Other,6,unknown
150,ceramics,Other,6,unknown
151,Changes in my work and school schedule because of COVID 19,School,1,work
152,changes in work schedule,Work,1,work
154,chistmas is coming up and we are so broke this year,Financial Problem,5,finance
155,christmas has been stressing me out!,Social Relationships,4,friends
156,christmas is coming and i'm swamped with medical bills.,Financial Problem,5,finance
157,chritmas is coming up and i am worried i wont be able give my family a good xmas,Family Issues,2,family
158,class is boring....unable to focus,School,1,work
159,classes,School,1,work
160,classes at my college,School,1,work
161,college,School,1,work
162,college and work have both been pretty stressful.,School,1,work
163,"college has been really stressing me out lately, thanks for asking.",School,1,work
164,college is super hard I'm not doing well in essay,School,1,work
165,coming up with a 1000.00 to fix my vehicle that needs to be repaired.,Financial Problem,5,finance
166,commuting to work,Work,1,work
167,completing a project on time and correctly.,Work,1,work
168,concentrating at work,Work,1,work
169,Concerns about the situation in the world right now.,Other,6,unknown
171,CORNOAVIRUS AND THE UNKNOWN,Other,6,unknown
172,corona,Other,6,unknown
173,corona virus,"Health, Fatigue, or Physical Pain",3,health
174,corona virus freaking me out,"Health, Fatigue, or Physical Pain",3,health
175,corona virus is sprending like a wildfire,"Health, Fatigue, or Physical Pain",3,health
176,"Corona Virus! I have not work, no contacts, can't leave the house. How are you?",Work,1,work
177,Corona virus... it's just non stop. What about you?,"Health, Fatigue, or Physical Pain",3,health
178,Coronavirus and my job situation.,Work,1,work
179,Coronavirus and panic buying have been stressing me out.,"Health, Fatigue, or Physical Pain",3,health
180,Coronavirus has been stressing me out due to being in furlough,Work,1,work
181,"Coronavirus has been stressing me out. I'm afrain to get sick, I cannot work and i am st","Health, Fatigue, or Physical Pain",3,health
182,Coronavirus has definitely increased my anxiety,Emotional Turmoil,6,unknown
183,Coronavirus is happening and I can't leave my house.,Everyday Decision Making,6,unknown
184,Coronavirus is threatening my current employment.,Work,1,work
185,CORONAVIRUS preventing me from WORKING so I cannot pay my BILLS and keep family FED,Work,1,work
186,"Coronavirus, my financial budget, thinking of my student debts",Financial Problem,5,finance
187,Coronavirus.  I am high risk because of asthma so I am worried,"Health, Fatigue, or Physical Pain",3,health
188,Coronavirus.  I'm very scared of what it will do,Other,6,unknown
189,court in 2 weeks nd no deal in sight,Other,6,unknown
190,Covid 19,"Health, Fatigue, or Physical Pain",3,health
191,Covid 19 has been severely impacting my life. I miss seeing people.,Social Relationships,4,friends
192,COVID 19 is everywhere and I have to respond as a fire fighter,Work,1,work
193,covid 19 is making me lose hours at work and i cant keep up with my bills,Financial Problem,5,finance
194,"COVID is really stressing me, I can't think about anything else.","Health, Fatigue, or Physical Pain",3,health
195,Co-vid! Isn't that what's stressing us all out?,"Health, Fatigue, or Physical Pain",3,health
196,Covid-19 and money,Other,6,unknown
197,Covid-19 has been really stressing me out. Life as we know it is forever different,"Health, Fatigue, or Physical Pain",3,health
198,COVID-19 has been stressing me out!,"Health, Fatigue, or Physical Pain",3,health
199,covid19 has messed with my sleep schedule a bit,"Health, Fatigue, or Physical Pain",3,health
200,covid-19 is all over my town and i'm afraid to die!,"Health, Fatigue, or Physical Pain",3,health
201,Covid-19 it laid of my husband from work. My surgery got postponed.,"Health, Fatigue, or Physical Pain",3,health
202,COVID-19 Pandemic,"Health, Fatigue, or Physical Pain",3,health
203,Covid-19 pandemic has been really stressful,Emotional Turmoil,6,unknown
204,COVID-19 Quarantine has me feeling pretty lonely and isolated lately.,Financial Problem,5,finance
205,coworkers ostracising me again,Work,1,work
206,crap life seems to suck!,Emotional Turmoil,6,unknown
207,currently my relationship but i'm working on it.,Social Relationships,4,friends
208,Currently not being able to see my girlfriend is stressing me out slightly.,Social Relationships,4,friends
209,Currently stressing about the COVID-19 as I have been unemployed for two weeks.,Financial Problem,5,finance
210,"cut to part time, can't pay rent or bills, feel terrible",Financial Problem,5,finance
211,darn lazy ass people at work. feed up with seeing people talking and not wo,Work,1,work
212,deadline,Work,1,work
213,deadlines,Work,1,work
214,deadlines for all my courses,School,1,work
215,Dealing with Ali is stressing me out.,Social Relationships,4,friends
216,dealing with anxiety from the stress of car repair and being unemployed.,Financial Problem,5,finance
217,dealing with finding a daycare for my daughter,Family Issues,2,family
218,dealing with grief following the death of both my grandparents last month,Emotional Turmoil,6,unknown
219,dealing with illness along with my wife,"Health, Fatigue, or Physical Pain",3,health
220,dealing with my coworkers everyday with their annoying habits,Work,1,work
221,dealing with my husband's heal issues and his problems with the va is always stressful,Family Issues,2,family
222,dealing with my lawyer,Social Relationships,4,friends
223,Dealing with my Lupus flares,"Health, Fatigue, or Physical Pain",3,health
224,Dealing with people have not been the easiest thing for me lately.,Social Relationships,4,friends
225,Dealing with right-wing syncophants and trolls online and in social media has been hard.,Other,6,unknown
226,dealing with that woman at work,Work,1,work
227,dealing with the death of my father,Family Issues,2,family
228,dealing with this coronavirus and not being able to have family and friends over,Social Relationships,4,friends
229,death in the famy,Family Issues,2,family
230,debt payments,Financial Problem,5,finance
231,deciding if i should work out or not,"Health, Fatigue, or Physical Pain",3,health
232,Deciding wether or not to return back to school,School,1,work
234,definitely all the bills I have to pay,Financial Problem,5,finance
235,definitely my work has been stressing me out big time!,Work,1,work
236,Definitely the COVID-19 Global outbreak that requires being Quarantined,"Health, Fatigue, or Physical Pain",3,health
237,"didn't have the money to enroll for classes until today, yikes",Financial Problem,5,finance
238,difficult people at work,Work,1,work
239,Difficulty installing security protection on multiple devices.,Everyday Decision Making,6,unknown
240,disease is killing people,"Health, Fatigue, or Physical Pain",3,health
241,do you have time to talk,Social Relationships,4,friends
243,donald trump and the republicans are destroying our democracy,Other,6,unknown
244,don't know what to cook for dinner,Other,6,unknown
245,driving 2 work really sucks,Work,1,work
246,driving my kids all over town is getting crazy and really stressing me out,Family Issues,2,family
247,"dude i am so stressed out about moving to nevada , i hate it.",Other,6,unknown
249,dude work has been kicking my butt lol,Work,1,work
250,"Dude, I've been so worried about online classes LOL",School,1,work
251,due to certain circumstances that have donned on me it has been tough to meet financial,Financial Problem,5,finance
252,due to lack of sleep i am feeling stressful,"Health, Fatigue, or Physical Pain",3,health
253,"due to the corona virus, i must stay home. it means i get no salary",Social Relationships,4,friends
254,"Due to the coronavirus, I no longer have a job, it is scary.",Work,1,work
255,eating well,"Health, Fatigue, or Physical Pain",3,health
256,enough money for retirement,Financial Problem,5,finance
257,essays are piling up and i'm drowning in them.,School,1,work
258,"even though i did a good job, i worry my boss won't give a good recommendation.",Work,1,work
259,every day is stress in current work situation steve needs to retire.,Work,1,work
260,every time i turn on the news and social media facebook it seems to stress me out,Other,6,unknown
261,everyone being in my space while stuck at home,Social Relationships,4,friends
262,everyone is getting promoted at work except me.,Work,1,work
263,Everything about this virus is stressing me out.,"Health, Fatigue, or Physical Pain",3,health
264,"everything at work is. i have stacks of papers to finish, and no time to do so. ugh",Work,1,work
265,"everything at work, just generally what is expected of me.",Work,1,work
266,everything because of my current anxiety and bad depression.,Emotional Turmoil,6,unknown
267,everything stress me out,Everyday Decision Making,6,unknown
268,everything stresses me out lately.,Everyday Decision Making,6,unknown
269,"everything that has been going on that i explained to you, its all overwhelming me.",Other,6,unknown
270,Everything that's happening with corona virus is making me nervous.,"Health, Fatigue, or Physical Pain",3,health
272,"everything. i'm so overwhelmed, no help, no time urgggg",Everyday Decision Making,6,unknown
273,family,Family Issues,2,family
274,family coming for a visit. they have special diets-i am nervous about cooking.,Family Issues,2,family
275,"family drama mostly, having to deal with the kid.",Family Issues,2,family
276,"family expectations, they want me to visit when they think it convenient.",Family Issues,2,family
277,Family home all day. No me time. Too much noise. Can't work easily.,Family Issues,2,family
278,"family is driving me crazy, think i need a break!",Family Issues,2,family
279,family stress.,Family Issues,2,family
280,Fear about the virus and my job.,Work,1,work
281,feeling alone and that i am not part of anything,Emotional Turmoil,6,unknown
282,feeling bad about myself,Emotional Turmoil,6,unknown
283,feeling inadequate at work/doubting what occupation fits for me,Work,1,work
284,feeling insecure about my short hair,Other,6,unknown
285,feeling lonely,Emotional Turmoil,6,unknown
286,feeling overwhelmed,Family Issues,2,family
287,feels like everything all at once,Everyday Decision Making,6,unknown
288,fellow employees at work,Work,1,work
289,Figuring out a long term job during the pandemic,Work,1,work
290,figuring out how to handle play dates with my kids,Family Issues,2,family
291,Figuring out to work from home,Work,1,work
292,figuring out what classes i want to take,School,1,work
293,figuring out where to go fruit picking tomorrow,Other,6,unknown
294,filing state taxes for my business.,Financial Problem,5,finance
295,filled with work this week. don't want to miss the date.,Work,1,work
296,Finances,Financial Problem,5,finance
297,finances are tight right now,Financial Problem,5,finance
298,finances have been really stressing me out lately.,Financial Problem,5,finance
299,finances have been stressing me out again,Financial Problem,5,finance
300,"Finances, my dad got laid off and i'm only part time",Financial Problem,5,finance
301,finances. i often think about how i'm going to live a comfortable life.,Financial Problem,5,finance
302,financial constraints and so i need a well paying job,Work,1,work
303,financial issues are the main stressor in my life.,Financial Problem,5,finance
304,financial issues have been getting to me,Financial Problem,5,finance
305,financial problems and paying bills,Financial Problem,5,finance
306,financial problems are starting to become annoying,Financial Problem,5,finance
307,Financial problems have been getting me down lately.,Financial Problem,5,finance
308,financial situation,Financial Problem,5,finance
309,financial stress of being bread winner for my family is stressing me out.,Financial Problem,5,finance
310,financial uncertainty and the stress it creates.,Financial Problem,5,finance
311,finding a hard time covering my expenses and bills,Financial Problem,5,finance
312,finding a job,Work,1,work
313,finding a job recently.,Work,1,work
314,finding a new job,Work,1,work
315,finding a new job with higher pay,Work,1,work
316,finding the finances for a birthday party after christmas,Financial Problem,5,finance
317,finding the right job that'll make me happy and take me places.,Work,1,work
318,finding way to make money since noone is buying my  handmade jewelry,Financial Problem,5,finance
319,finding work. it's been so difficult.,Work,1,work
320,flat tire,Other,6,unknown
322,friend drama,Social Relationships,4,friends
324,From the coronavirus laid off from my serving job has created so much financial stress,Work,1,work
325,full time caregiving is hard i am always tired,Work,1,work
327,gaining weight and just cannot seem to lose it.,"Health, Fatigue, or Physical Pain",3,health
330,getting an internship this summer..,School,1,work
331,Getting cabin fever due to coronavirus shutting things down.,Social Relationships,4,friends
332,getting dinner ready for christmas was an incredible challenge!,Everyday Decision Making,6,unknown
333,getting dinner ready for the holiday,Other,6,unknown
334,getting ebola.,"Health, Fatigue, or Physical Pain",3,health
335,getting everything done at work,Work,1,work
336,getting everything together to go to houston for a family members heart surgery.,Family Issues,2,family
337,getting injured at work and worried about living pay check to pay check,Financial Problem,5,finance
338,Getting laid of due tot he virus,Work,1,work
339,"getting my body in better shape, especially tightening my stomach.","Health, Fatigue, or Physical Pain",3,health
340,getting my work done before the deadline with the holidays right around the corner.,Work,1,work
341,getting people to join my business.,Work,1,work
343,getting rid of clutter and making my home more cozy,Everyday Decision Making,6,unknown
344,getting texts about what's stressing me out!,Other,6,unknown
345,getting the bus to work.,Other,6,unknown
346,getting to graduation with the best GPA possible,School,1,work
347,getting to my college classes this weekend,School,1,work
349,gf,Social Relationships,4,friends
350,girl christmas is coming up and i dont have any money to buy my children anything.,Financial Problem,5,finance
351,"girl i am at work , they are stressing me out over bread of the week.",Work,1,work
352,Girl I'm stressing out st work. Supervisor is driving me absolutely crazy!! HELP!!,Work,1,work
353,Girl tell me why my aunt (that lives) around the corner stole $20 from me.,Family Issues,2,family
354,"Girl, having AJ home all day while trying to wfm is stressing me out.",Social Relationships,4,friends
355,"girl, i can't afford to pay my bills and i'm mentally exhausted.",Financial Problem,5,finance
356,glad this day is over.,Other,6,unknown
357,global warming keeps getting worse and worse.,Other,6,unknown
358,going back to work,Work,1,work
359,Going out to the store and ppl sneezing without covering the mouth OMG,"Health, Fatigue, or Physical Pain",3,health
360,going through a divorce and my ex is trying to take my baby.,Family Issues,2,family
361,"going to doctor appointments, stress me out.","Health, Fatigue, or Physical Pain",3,health
362,going to my kid's school for a meeting,School,1,work
363,going to work tomorrow,Work,1,work
364,got a bill to pay and not sure how :(,Financial Problem,5,finance
365,got a load of work and am procrastinating,Work,1,work
366,Gotta love back home in the middle of the semester :/,School,1,work
367,grad school applications are killing me right now.,School,1,work
368,grad school is literally the worst,School,1,work
369,great stress about work,Work,1,work
371,Grocery shopping seem like a task this days,Other,6,unknown
375,half of my coworkers are leaving for new jobs.,Work,1,work
376,have been fighting with my girlfriend about moving to london.,Social Relationships,4,friends
377,have been having this issues resting after work like my whole body needs a massage,"Health, Fatigue, or Physical Pain",3,health
378,"have been trying to clean and organize my closet, what a mess!",Everyday Decision Making,6,unknown
379,have been trying to find online work that is simple but rewarding its been stressfu,Work,1,work
380,Have to use less toilet paper!,"Health, Fatigue, or Physical Pain",3,health
381,having 3 year old triplets,Family Issues,2,family
382,having a baby is stressful and currently out of a job.,Family Issues,2,family
383,having a constant toothache,"Health, Fatigue, or Physical Pain",3,health
384,having a hard time paying the bills,Financial Problem,5,finance
385,"having a rough day, not feeling too well.",Emotional Turmoil,6,unknown
386,Having absolutley no idea what I want to do with my life.,Everyday Decision Making,6,unknown
387,having enough money for the holidays,Financial Problem,5,finance
388,having family issues,Family Issues,2,family
389,Having no job due to pandemic,Work,1,work
390,Having to be away from my family and friends due to the Corona Virus,Family Issues,2,family
391,Having to be stuck at home. This quarantine is really messing with me.,Emotional Turmoil,6,unknown
392,Having to deal with cutting staff at work.,Work,1,work
393,Having to go to work in the ER amidst all the virus drama.,Work,1,work
394,having to go to work tomorrow,Work,1,work
395,having to host christmas every year for adults that never reciprocate.,Social Relationships,4,friends
396,having to meet time deadlines at work.,Work,1,work
397,Having to pay my student loans,Financial Problem,5,finance
398,having to replace the carpets in our living room.,Everyday Decision Making,6,unknown
399,having to stay 6 feet away from everyone,Social Relationships,4,friends
400,having to take care of 6 foster kittens. i'm exhausted!,"Health, Fatigue, or Physical Pain",3,health
401,having to tell my boss i am quitting,Work,1,work
402,having to type messages on my phone.,Other,6,unknown
403,having to wake up early for work tomorrow,Work,1,work
404,Having to work from home and help the kids with school work.,Work,1,work
405,"Having trouble at work, dont know how to handle it.",Work,1,work
406,having trouble choosing meals for the week=getting everyone to agree!,Everyday Decision Making,6,unknown
407,he needs to get help when he needs it.,Other,6,unknown
408,health of my parents. being long distance from them is worrying me more.,Family Issues,2,family
410,"hello, i've been stressed out a lot from work.",Work,1,work
411,"hello, what's stressing me out right now is my son's homework, he got too much homework",School,1,work
412,hey friend i've been taking care of my mother on a daily and it has me stressed out.,Family Issues,2,family
413,Hey friend! This coronavirus has really been stressing me out with paying my bills.,Financial Problem,5,finance
414,hey friend. i have been stressed out tremendously with my kids lately.,Family Issues,2,family
415,hey how did you find it  i just want to share my thoughts about my family situation to u,Family Issues,2,family
416,Hey John have been going thru a rough time mate. Feeling very low.,Emotional Turmoil,6,unknown
418,"hey lady, i've been so stressed out about my podcast release party.",Work,1,work
419,Hey my friend! I need to talk to you about a situation tthat's urgent.,Other,6,unknown
420,hey thanks for asking how im doing. for the most part kids and worrying their health,Family Issues,2,family
421,"Hey thanks for asking, I've been stressed about school but taking things day by day",School,1,work
423,hey there! i am feeling really stuck at my job right now.,Work,1,work
424,hey there! im just having trouble finding a job right now.,Work,1,work
425,Hey!  This coronavirus is stressing me out!  When will it end?,"Health, Fatigue, or Physical Pain",3,health
426,Hey! How are you?Thanks for asking. I feel stressed cooking everyday.,Emotional Turmoil,6,unknown
427,hey! i had to wait in line for my coffee at starbucks for an hour this morning so that.,Everyday Decision Making,6,unknown
428,Hey! I think a situation that's been stressing me out is just finances.,Financial Problem,5,finance
429,hey! i've been pretty stressed about waiting to hear back about internships.,Work,1,work
430,hey! i've been stressing about school. everything is getting difficult.,School,1,work
431,"hey! my mom is stressing me out, again. i get so angry, theni feel bad about my anger wi",Family Issues,2,family
432,hey! right now financial aid is stressing me out,Financial Problem,5,finance
433,hey! work has been stressing me out,Work,1,work
434,hey! work is making me crazy.,Work,1,work
435,"Hey, I am in the middle of final exams. Just found out if I fail this exam, I fail all.",School,1,work
436,"hey, i called you three times last week no answer, what's the problem?",Social Relationships,4,friends
437,"hey, i have been stressed about getting the dogs trained.",Family Issues,2,family
438,"hey, my supervisor was on me again today. i don't think she likes me.",Work,1,work
439,"hey, want to grab a bite to eat and chat. could really use a break.",Other,6,unknown
441,"hi dear friend, I had stress because of my work . please give me idea to relax.",Work,1,work
442,hi dr..i just so stressful due to my project work.because the dead line is over .,Work,1,work
443,HI FRDS THANKYOU FOR TEXTINGS,Other,6,unknown
444,hi friend i am getting very stressfull work we meet in any hotel,Work,1,work
445,hi friend i feel very stressed out about the amount of work that i have to do at work,Work,1,work
446,hi friend i had a problem a work and school ..shall we have lunch outside,Work,1,work
447,hi friend i have been having trouble falling asleep,"Health, Fatigue, or Physical Pain",3,health
448,hi friend school has been so stressful i am in finals and have 3 assignments due,School,1,work
449,"Hi Friend, Adulting has been stressing me out.",Social Relationships,4,friends
450,"Hi friend, I often had stress in deciding a meal. please help me how to handle this stre",Everyday Decision Making,6,unknown
451,"hi friend, my job is stressing with making productivity, it seems to be their only focus",Work,1,work
452,"hi friend, recent days i had lot of work pressure. give me some idea to relax.",Work,1,work
453,"hi friend, school has been stressing me out. i feel like i'm drowning in the homework.",School,1,work
454,hi friend. give me some idea preparing a meal. this makes me streeful in deciding. give,Everyday Decision Making,6,unknown
455,hi friend. i had a stressful situations at home,Family Issues,2,family
456,hi friend. im recently some problems at house so i had a stressful,Family Issues,2,family
457,hi friend. i'm stressful at a work.,Work,1,work
458,hi friend. my relationship has been stressing me out. we are lacking communication.,Social Relationships,4,friends
459,hi friends i m very stressful.,Other,6,unknown
460,"hi how are you,i feel very stressful",Other,6,unknown
461,hi im stressing about school,School,1,work
462,Hi my friend. I need your help.,Other,6,unknown
463,hi there.  my job has been stressing me out.  we are so busy.,Work,1,work
464,hi there.  work is really stressing me out.,Work,1,work
466,"Hi! How are you? Been good, but getting bored being inside all the time!",Other,6,unknown
467,hi! i have been really stressing out about my recent school load and doing my studies.,School,1,work
468,hi! i'd like to thank you as well for texting. i am stressed because i don't have money.,Financial Problem,5,finance
469,hi! right now i'm struggling with financial problems since i just recently moved here.,Financial Problem,5,finance
470,"hi, because of work pressure i got stressful. so, we relax to chat feel free",Work,1,work
472,"hi, i finished my project at work and waiting for something new.",Work,1,work
473,"hi, i'm upset with my husband hanging out with his drinking friends.",Family Issues,2,family
474,"hi, recently i've been stressed with my workload from school and work with little time.",School,1,work
475,"Hi, This COVID-19 pandemic is stressing me out lot. Not able to go out.",Emotional Turmoil,6,unknown
476,Hi. I have been stressed about the virus situation.,"Health, Fatigue, or Physical Pain",3,health
477,hi. i have been stressing making ends meet this month. what about you?,Financial Problem,5,finance
478,Hi. I've been stressing about making money.,Financial Problem,5,finance
479,hi. just struggling a little bit with work,Work,1,work
480,hi. recently i have been stressing about a situation involving my child.,Family Issues,2,family
483,hmmm. let me think about that. this conflict with iran worries me.,Emotional Turmoil,6,unknown
484,"holiday break ending for college, next semester is scary",School,1,work
485,holiday season,Other,6,unknown
486,home life is stressful. it's hard to take care of kids all day everyday.,Family Issues,2,family
487,home life sucksso many fights,Family Issues,2,family
488,homeschooling my kids because schools are closed,School,1,work
489,homework is killing me lately,School,1,work
490,homework is really stressing me out!,School,1,work
491,Homework is stressing me out,School,1,work
492,"homework, what are they doing at school if they are doing so much here.",School,1,work
493,"honestly i have been really stressed about my finances, i need another job..",Financial Problem,5,finance
495,Honestly right now the COVID-19,"Health, Fatigue, or Physical Pain",3,health
496,"honestly, everyday i get stress out.",Everyday Decision Making,6,unknown
497,"honestly, my job has been super stressful",Work,1,work
498,"honestly, organizing social situations when most people are out of town or busy",Social Relationships,4,friends
499,"honestly, school has been very stressful lately cause of my finals.",School,1,work
500,hope to pay my everday bills,Financial Problem,5,finance
501,hoping to beat the crazy shoppers that go shopping on black friday by shopping online,Other,6,unknown
502,hounded by robo calls,Other,6,unknown
503,HOUSE IS A MESS AND I AM TIRED,"Health, Fatigue, or Physical Pain",3,health
507,how busy i am at work.,Work,1,work
509,how i have been eating this week.,"Health, Fatigue, or Physical Pain",3,health
511,how the coronavirus could damage the US economy,Financial Problem,5,finance
512,how to get out of the relationship that i am in. i am tired of feeling used.,Social Relationships,4,friends
